gene_id	gene_name	GSM9304310_mESC_E14_ctrl_A_d4	GSM9304311_mESC_E14_ctrl_B_d4	GSM9396007_MEF_3T3_mock_A_4hpi	GSM9396008_MEF_3T3_mock_B_4hpi	GSM9396009_MEF_3T3_mock_C_4hpi
ENSMUSG00000000001.4	Gnai3	74.281384	75.866773	110.825523	123.191924	124.862488
ENSMUSG00000000003.15	Pbsn	0	0	0	0	0
ENSMUSG00000000028.15	Cdc45	38.031649	38.376486	15.654035	10.59572	14.298916
ENSMUSG00000000031.16	H19	3.314679	3.941507	0.932382	0.672297	0.510066
ENSMUSG00000000037.17	Scml2	11.534807	8.846934	0.631108	0.604746	0.971782
ENSMUSG00000000049.11	Apoh	0	0	1.347436	1.324971	0.962878
ENSMUSG00000000056.7	Narf	8.480201	8.542858	4.437892	4.131224	4.909536
ENSMUSG00000000058.6	Cav2	0.178831	0	25.487552	39.020519	37.215502
ENSMUSG00000000078.7	Klf6	15.200443	17.210978	63.19031	55.03617	60.908916
ENSMUSG00000000085.16	Scmh1	9.531178	5.893437	37.854656	34.064971	44.263949
ENSMUSG00000000088.7	Cox5a	538.314954	499.882088	343.494301	372.156913	365.403569
ENSMUSG00000000093.6	Tbx2	0.042036	0.122496	0.781726	1.031794	1.122985
ENSMUSG00000000094.12	Tbx4	0.709288	0.793551	2.324943	2.255201	2.067532
ENSMUSG00000000103.12	Zfy2	0.263853	0.158979	0	0	0.154303
ENSMUSG00000000120.6	Ngfr	6.885629	7.370123	0	0.033427	0.044141
ENSMUSG00000000125.5	Wnt3	0.045731	0.076444	0	0	0
ENSMUSG00000000126.11	Wnt9a	0.645186	0.401911	0.548865	0.43135	0.374516
ENSMUSG00000000127.15	Fer	9.739799	10.817615	32.050103	28.311916	25.266146
ENSMUSG00000000131.15	Xpo6	57.020708	56.46085	43.267141	41.468968	40.307559
ENSMUSG00000000134.17	Tfe3	51.727741	49.56665	65.948268	67.246578	81.699345
ENSMUSG00000000142.15	Axin2	2.17688	2.282822	0.362871	0.267668	0.220315
ENSMUSG00000000148.17	Brat1	9.254915	9.441252	7.523006	7.033612	6.836148
ENSMUSG00000000149.10	Gna12	19.56777	20.694819	38.920722	41.885183	42.546873
ENSMUSG00000000154.16	Slc22a18	3.361407	2.951434	0	0	0.038747
ENSMUSG00000000157.16	Itgb2l	0	0	0	0	0
ENSMUSG00000000159.16	Igsf5	0.277361	0.15386	0	0	0
ENSMUSG00000000167.14	Pih1d2	2.464443	1.178627	1.995159	2.049433	2.19552
ENSMUSG00000000168.9	Dlat	47.902295	58.896284	46.029517	45.297665	42.309622
ENSMUSG00000000171.5	Sdhd	179.342759	166.18469	122.84113	119.894089	119.725976
ENSMUSG00000000182.9	Fgf23	0.165176	0.137558	0	0	0
ENSMUSG00000000183.6	Fgf6	0	0	0	0	0
ENSMUSG00000000184.12	Ccnd2	3.75993	1.870095	72.720161	65.022647	67.312884
ENSMUSG00000000194.13	Gpr107	26.906654	24.207169	29.632342	31.118516	28.954727
ENSMUSG00000000197.8	Nalcn	0.138665	0.090562	0.015281	0.020073	0.034868
ENSMUSG00000000202.9	Btbd17	1.460385	1.355711	0	0	0
ENSMUSG00000000204.16	Slfn4	0.089709	0.017886	0	0	0
ENSMUSG00000000214.11	Th	0.049055	0.275211	0	0	0
ENSMUSG00000000215.11	Ins2	0	0	0	0	0
ENSMUSG00000000216.8	Scnn1g	0	0.019226	0	0	0
ENSMUSG00000000223.13	Drp2	0.485387	0.552553	0.18956	0.265198	0.15622
ENSMUSG00000000244.17	Tspan32	1.261997	1.225549	0.011952	0.06036	0.202553
ENSMUSG00000000247.11	Lhx2	0.155534	0	0	0	0
ENSMUSG00000000248.16	Clec2g	0	0	0	0	0
ENSMUSG00000000253.13	Gmpr	9.159532	9.245324	3.529768	3.614999	3.857062
ENSMUSG00000000263.15	Glra1	0	0	0.148236	0.165747	0.038322
ENSMUSG00000000266.11	Mid2	0.051549	0	7.326342	8.279382	8.685406
ENSMUSG00000000275.16	Trim25	39.399555	51.787448	21.981269	24.098497	21.140563
ENSMUSG00000000276.11	Dgke	12.106561	13.807718	2.2948	4.312451	3.711532
ENSMUSG00000000278.10	Scpep1	141.629843	132.162375	283.459216	288.192668	282.935266
ENSMUSG00000000282.12	Mnt	13.44062	13.536661	36.865285	41.992058	39.28398
ENSMUSG00000000290.13	Itgb2	0.185047	0.291231	2.344453	3.596931	3.749593
ENSMUSG00000000295.13	Hddc2	44.114757	46.392409	21.545109	21.967101	22.957814
ENSMUSG00000000296.8	Tpd52l1	23.670617	27.893154	0.15408	0	0.125711
ENSMUSG00000000301.16	Pemt	3.79573	7.166184	4.18066	4.960645	5.67449
ENSMUSG00000000303.12	Cdh1	104.338664	113.631136	0.072797	0.0919	0.009061
ENSMUSG00000000305.12	Cdh4	0.253531	0.314568	0	0	0
ENSMUSG00000000308.14	Ckmt1	20.340821	20.197834	0	0	0
ENSMUSG00000000317.11	Bcl6b	7.139198	6.761358	0.080911	0.690176	0.109596
ENSMUSG00000000318.16	Clec10a	0.13792	0.59526	0	0.189095	0.14683
ENSMUSG00000000320.10	Alox12	0.82465	0.658685	0	0	0
ENSMUSG00000000325.16	Arvcf	20.175263	23.315506	3.053127	3.100877	1.908923
ENSMUSG00000000326.13	Comt	15.99182	22.890752	63.127647	58.242788	56.403481
ENSMUSG00000000339.14	Rtca	33.100625	30.182024	42.039204	45.674821	48.211964
ENSMUSG00000000340.10	Dbt	37.785738	38.723053	1.881001	1.963154	1.465677
ENSMUSG00000000346.9	Dazap2	43.145247	50.766673	208.217417	236.192545	242.707624
ENSMUSG00000000355.13	Mcts1	67.594377	71.084674	73.515186	61.548755	60.086776
ENSMUSG00000000359.3	Rem1	0.420522	0.099346	0	0	0
ENSMUSG00000000365.9	Rnf17	81.684072	75.546377	0	0	0
ENSMUSG00000000374.8	Trappc10	12.693377	14.598743	25.400013	23.1082	24.322508
ENSMUSG00000000378.15	Ccm2	17.82784	17.078551	56.175232	45.372661	44.816302
ENSMUSG00000000381.10	Wap	0	0	0	0	0
ENSMUSG00000000384.15	Tbrg4	89.574426	79.110657	63.38007	63.223352	62.021889
ENSMUSG00000000385.8	Tmprss2	0.087881	2.160684	0	0	0
ENSMUSG00000000386.16	Mx1	0.106592	0.502933	1.110835	0.167451	0.475107
ENSMUSG00000000392.17	Fap	0	0	0.786337	0.353613	0.617425
ENSMUSG00000000394.15	Gcg	0	0	0	0	0
ENSMUSG00000000399.10	Ndufa9	94.595226	86.050137	70.834972	75.762874	80.053667
ENSMUSG00000000402.2	Egfl6	0.862988	0.998913	0	0	0
ENSMUSG00000000409.14	Lck	10.369356	13.02651	0.218082	0.05759	0.169575
ENSMUSG00000000411.7	Tssk3	0	0.175186	0	0	0
ENSMUSG00000000416.16	Cttnbp2	1.504124	1.421005	0	0	0
ENSMUSG00000000420.15	Galnt1	28.642748	28.809621	62.509719	64.375766	63.396638
ENSMUSG00000000435.1	Myf5	0	0.323618	0	0	0
ENSMUSG00000000439.9	Mkrn2	17.977229	19.03212	11.882536	12.899074	17.746743
ENSMUSG00000000440.12	Pparg	0	0	0	0.318356	0.067112
ENSMUSG00000000441.17	Raf1	48.907836	62.924037	59.576831	60.474628	63.534219
ENSMUSG00000000486.13	Septin1	204.267539	193.156933	1.133482	1.52769	2.983769
ENSMUSG00000000489.7	Pdgfb	2.709973	3.405235	1.532447	1.826119	0.673521
ENSMUSG00000000530.16	Acvrl1	0.650991	0.946456	0.547103	1.082979	0.284381
ENSMUSG00000000531.5	Grasp	18.504612	19.233391	30.665437	27.796787	28.656076
ENSMUSG00000000532.11	Acvr1b	20.075846	19.326023	7.283391	8.377081	9.038093
ENSMUSG00000000538.18	Tom1l2	5.070807	6.115227	43.128715	43.137752	42.108906
ENSMUSG00000000544.14	Gpa33	68.730343	64.436941	0	0	0
ENSMUSG00000000552.10	Zfp385a	12.235883	12.810821	20.188826	24.01832	22.026785
ENSMUSG00000000555.8	Itga5	18.09238	18.291259	322.254572	299.25679	329.063771
ENSMUSG00000000560.9	Gabra2	0	0	0	0	0
ENSMUSG00000000561.14	Wdr77	126.002342	129.025245	88.205095	83.106126	76.322536
ENSMUSG00000000562.5	Adora3	0	0	0	0	0
ENSMUSG00000000563.17	Atp5pb	375.148355	341.144167	217.175723	242.617937	234.547105
ENSMUSG00000000567.5	Sox9	0	0	175.877641	221.716487	222.093116
ENSMUSG00000000568.15	Hnrnpd	418.702819	417.6217	273.134648	333.687682	321.215239
ENSMUSG00000000579.14	Dynlt1c	20.714989	18.934474	0.417329	3.359581	1.55195
ENSMUSG00000000581.8	C1d	88.08937	84.144301	58.508329	47.739422	54.709451
ENSMUSG00000000594.7	Gm2a	11.176631	10.48482	3.775912	3.808186	4.021501
ENSMUSG00000000600.15	Krit1	25.812903	28.043669	22.568878	25.221841	25.91141
ENSMUSG00000000605.9	Clcn4	3.145444	2.042611	39.976526	37.181891	38.461888
ENSMUSG00000000606.18	Vmn2r88	0	0	0	0	0
ENSMUSG00000000617.14	Grm6	0.043779	0	0	0	0
ENSMUSG00000000627.15	Sema4f	1.65179	0.797927	0	0	0
ENSMUSG00000000628.10	Hk2	107.749163	100.491524	25.02344	25.063849	25.130658
ENSMUSG00000000631.20	Myo18a	20.123692	17.264413	8.509837	8.791674	8.343337
ENSMUSG00000000632.13	Sez6	0.603789	1.437809	0	0	0
ENSMUSG00000000673.9	Haao	0.447681	1.047341	0	0	0
ENSMUSG00000000682.7	Cd52	0	0	0	0	0
ENSMUSG00000000686.11	Abhd15	0.185155	0.139419	0.566791	0.054153	0.159513
ENSMUSG00000000690.5	Hoxb6	0	0.089363	0.525781	0.203849	0.700047
ENSMUSG00000000693.10	Loxl3	0.321858	0.252684	29.596768	25.376495	37.715988
ENSMUSG00000000701.8	Tcl1b5	0	0	0	0	0
ENSMUSG00000000706.16	Btn1a1	0.10284	0.036332	0.331769	0.061999	0.026664
ENSMUSG00000000708.14	Kat2b	29.593561	30.841121	9.053447	10.517712	10.998993
ENSMUSG00000000711.3	Rab5b	39.109812	41.88284	62.307453	62.485842	62.101839
ENSMUSG00000000724.10	Cryba1	0	0	0	0	0
ENSMUSG00000000730.13	Dnmt3l	286.458955	275.830121	7.935762	6.444016	5.521248
ENSMUSG00000000731.15	Aire	33.479029	39.747269	0.038078	0	0
ENSMUSG00000000732.9	Icosl	8.026455	9.354833	0.064786	0.067761	0.224892
ENSMUSG00000000738.18	Spg7	40.248786	32.259366	32.690059	25.077786	28.29383
ENSMUSG00000000739.14	Sult5a1	3.104007	3.054498	0	0.396158	0.170729
ENSMUSG00000000740.12	Rpl13	2711.039923	2681.948612	1704.250701	1847.218586	1774.99121
ENSMUSG00000000743.9	Chmp1a	43.480569	42.739235	113.458239	78.247017	73.571773
ENSMUSG00000000751.13	Rpa1	172.84009	173.51285	80.848932	81.828937	80.119366
ENSMUSG00000000753.15	Serpinf1	1.691143	0.439322	1205.384604	1107.099351	1121.107233
ENSMUSG00000000759.14	Tubgcp3	11.986027	12.830984	22.047922	21.181267	26.225081
ENSMUSG00000000766.18	Oprm1	0	0	0	0	0
ENSMUSG00000000776.13	Polr3d	18.84006	19.209044	34.988198	30.671655	26.874396
ENSMUSG00000000782.16	Tcf7	38.64884	38.188458	0.105491	0.261969	0.273543
ENSMUSG00000000787.12	Ddx3x	229.962713	254.347837	236.531011	270.586036	294.108282
ENSMUSG00000000791.9	Il12rb1	0.436107	0.255099	0.692587	1.21399	1.542363
ENSMUSG00000000792.2	Slc5a5	0.607773	0.421198	0.032956	0.113725	0.239706
ENSMUSG00000000794.9	Kcnn3	0.126784	0.550217	0	0.016958	0
ENSMUSG00000000804.14	Usp32	16.156869	15.028765	29.612666	22.982758	28.679176
ENSMUSG00000000805.18	Car4	6.572744	5.61006	0	0	0
ENSMUSG00000000811.13	Txnrd3	5.871249	7.235686	10.342865	10.322088	11.924074
ENSMUSG00000000817.10	Fasl	0	0	0	0	0
ENSMUSG00000000823.16	Zfp512b	21.264503	25.401292	14.467478	15.675428	26.875509
ENSMUSG00000000826.16	Dnajc5	24.918284	30.055496	43.960453	43.908772	51.332623
ENSMUSG00000000827.18	Tpd52l2	146.245566	163.463384	64.606039	67.927626	72.76864
ENSMUSG00000000838.17	Fmr1	45.728846	53.108562	61.074319	64.996145	81.486551
ENSMUSG00000000861.15	Bcl11a	0.712229	0.863983	0	0	0
ENSMUSG00000000869.12	Il4	0	0	0	0	0
ENSMUSG00000000876.11	Pxmp4	8.38826	11.664259	5.196565	7.064457	5.633124
ENSMUSG00000000881.12	Dlg3	11.360478	12.535574	14.610798	14.499618	15.586892
ENSMUSG00000000884.17	Gnb1l	9.195161	8.143917	4.533478	4.484721	4.756054
ENSMUSG00000000889.8	Dbh	0	0	0	0	0
ENSMUSG00000000901.17	Mmp11	34.480875	33.455131	13.933836	13.995476	17.398178
ENSMUSG00000000902.13	Smarcb1	58.263402	58.330784	61.406343	60.273728	62.440365
ENSMUSG00000000903.3	Vpreb3	1.762599	1.246025	0	0.144817	0.188409
ENSMUSG00000000915.15	Hip1r	6.930607	10.063145	24.88937	15.944134	15.584296
ENSMUSG00000000916.15	Nsun5	34.376143	31.887116	21.206186	12.510443	14.02337
