set	gene
cl0_only	Tram1
cl0_only	4930444P10Rik
cl0_only	Stau2
cl0_only	Mir206
cl0_only	Smap1
cl0_only	Gm29669
cl0_only	Ptpn18
cl0_only	Lman2l
cl0_only	Cnnm4
cl0_only	Fam178b
cl0_only	Il1r1
cl0_only	Il18rap
cl0_only	Nck2
cl0_only	Gulp1
cl0_only	9330175M20Rik
cl0_only	Gm17767
cl0_only	Myo1b
cl0_only	Nab1
cl0_only	Gm28178
cl0_only	Orc2
cl0_only	Nrp2
cl0_only	Idh1
cl0_only	Erbb4
cl0_only	Mreg
cl0_only	Cryba2
cl0_only	Cnppd1
cl0_only	Abcb6
cl0_only	Tuba4a
cl0_only	A630095N17Rik
cl0_only	Slc4a3
cl0_only	Pax3
cl0_only	Wdfy1
cl0_only	Ngef
cl0_only	Inpp5d
cl0_only	1700067G17Rik
cl0_only	Iqca
cl0_only	Ackr3
cl0_only	Erfe
cl0_only	Ilkap
cl0_only	Pask
cl0_only	Thap4
cl0_only	Ppip5k2
cl0_only	Bcl2
cl0_only	Htr5b
cl0_only	Lypd1
cl0_only	Eif2d
cl0_only	Ikbke
cl0_only	Nucks1
cl0_only	Mfsd4a
cl0_only	Mir135b
cl0_only	Nuak2
cl0_only	Tmcc2
cl0_only	Chit1
cl0_only	Ppp1r12b
cl0_only	Arl8a
cl0_only	Shisa4
cl0_only	Inava
cl0_only	Camsap2
cl0_only	Ivns1abp
cl0_only	Rnasel
cl0_only	Mr1
cl0_only	Abl2
cl0_only	Sec16b
cl0_only	Rabgap1l
cl0_only	Tnfsf4
cl0_only	Mgst3
cl0_only	Igsf8
cl0_only	Cfap45
cl0_only	Mndal
cl0_only	Olfr433
cl0_only	Kif26b
cl0_only	Smyd3
cl0_only	Tfb2m
cl0_only	Tmem63a
cl0_only	Cnih4
cl0_only	Enah
cl0_only	Capn2
cl0_only	Susd4
cl0_only	Spata17
cl0_only	Batf3
cl0_only	Irf6
cl0_only	Akap12
cl0_only	Esr1
cl0_only	Cnksr3
cl0_only	Stxbp5
cl0_only	Grm1
cl0_only	B230208H11Rik
cl0_only	Stx11
cl0_only	Fuca2
cl0_only	Aig1
cl0_only	Hivep2
cl0_only	Adgrg6
cl0_only	Nmbr
cl0_only	Nhsl1
cl0_only	Hebp2
cl0_only	Il20ra
cl0_only	Slc35d3
cl0_only	L3mbtl3
cl0_only	Arhgap18
cl0_only	Gm20300
cl0_only	Calhm5
cl0_only	Tspyl1
cl0_only	Fyn
cl0_only	Fig4
cl0_only	Mical1
cl0_only	Smpd2
cl0_only	Sobp
cl0_only	Bend3
cl0_only	Cd24a
cl0_only	Grik2
cl0_only	Gm17059
cl0_only	Dnajb12
cl0_only	Sgpl1
cl0_only	Mir7662
cl0_only	Stox1
cl0_only	Tet1
cl0_only	Egr2
cl0_only	Rhobtb1
cl0_only	Bicc1
cl0_only	Ube2d1
cl0_only	Dip2a
cl0_only	Col6a1
cl0_only	Ube2g2
cl0_only	Plpp2
cl0_only	Ptbp1
cl0_only	Sbno2
cl0_only	Stk11
cl0_only	Atp5d
cl0_only	Uqcr11
cl0_only	Plekhj1
cl0_only	Lsm7
cl0_only	Tjp3
cl0_only	Mfsd12
cl0_only	Gm16104
cl0_only	Slc41a2
cl0_only	Aldh1l2
cl0_only	Cry1
cl0_only	Igf1
cl0_only	Slc17a8
cl0_only	Actr6
cl0_only	Tmpo
cl0_only	Usp44
cl0_only	Metap2
cl0_only	Tmcc3
cl0_only	Alx1
cl0_only	Gm29685
cl0_only	E2f7
cl0_only	Zdhhc17
cl0_only	Cnot2
cl0_only	Rap1b
cl0_only	Lemd3
cl0_only	Gns
cl0_only	Rassf3
cl0_only	Tbk1
cl0_only	Tafa2
cl0_only	Gm30539
cl0_only	Tsfm
cl0_only	Os9
cl0_only	Rdh1
cl0_only	Baz2a
cl0_only	Spryd4
cl0_only	Ankrd52
cl0_only	Myl6
cl0_only	Erbb3
cl0_only	Gdf11
cl0_only	8430429K09Rik
cl0_only	Ewsr1
cl0_only	Upp1
cl0_only	Egfr
cl0_only	Meis1
cl0_only	Spred2
cl0_only	Actr2
cl0_only	Zrsr1
cl0_only	Fam161a
cl0_only	Psme4
cl0_only	Mpg
cl0_only	Fgf18
cl0_only	Npm1
cl0_only	Mat2b
cl0_only	Mir146
cl0_only	Rnf145
cl0_only	Adam19
cl0_only	Trim41
cl0_only	Flt4
cl0_only	Rufy1
cl0_only	BC049762
cl0_only	Zcchc10
cl0_only	Rad50
cl0_only	Mir7671
cl0_only	Gemin5
cl0_only	Zfp692
cl0_only	Gjc2
cl0_only	Wnt9a
cl0_only	4930412M03Rik
cl0_only	Rai1
cl0_only	Flii
cl0_only	Natd1
cl0_only	Aldh3a1
cl0_only	Ulk2
cl0_only	Ncor1
cl0_only	Ubb
cl0_only	Arhgap44
cl0_only	Gas7
cl0_only	Mir6406
cl0_only	Arhgef15
cl0_only	2810408A11Rik
cl0_only	Slc2a4
cl0_only	Camta2
cl0_only	4933427D14Rik
cl0_only	Smtnl2
cl0_only	Spns2
cl0_only	P2rx5
cl0_only	Sgsm2
cl0_only	Hic1
cl0_only	Myo1c
cl0_only	Glod4
cl0_only	Abr
cl0_only	Ssh2
cl0_only	Coro6
cl0_only	Gm11190
cl0_only	Nek8
cl0_only	Rab34
cl0_only	Tnfaip1
cl0_only	Nf1
cl0_only	Ccl2
cl0_only	Ccl7
cl0_only	Rffl
cl0_only	Ccl9
cl0_only	Dusp14
cl0_only	Dhx40
cl0_only	Mks1
cl0_only	Trim25
cl0_only	Utp18
cl0_only	Spag9
cl0_only	Col1a1
cl0_only	Ppp1r9b
cl0_only	Samd14
cl0_only	Dlx3
cl0_only	Dlx4os
cl0_only	Nxph3
cl0_only	4833417C18Rik
cl0_only	Igf2bp1
cl0_only	Snf8
cl0_only	Osbpl7
cl0_only	Mllt6
cl0_only	Cacnb1
cl0_only	Ppp1r1b
cl0_only	Csf3
cl0_only	Rara
cl0_only	Igfbp4
cl0_only	Krtap2-4
cl0_only	Gm11563
cl0_only	Gast
cl0_only	Jup
cl0_only	P3h4
cl0_only	Psmc3ip
cl0_only	Vps25
cl0_only	Dusp3
cl0_only	Ubtf
cl0_only	Slc25a39
cl0_only	Fam171a2
cl0_only	Hexim1
cl0_only	Ftsj3
cl0_only	Prkca
cl0_only	Abca8b
cl0_only	Kcnj2
cl0_only	1700012H19Rik
cl0_only	2610035D17Rik
cl0_only	4732490B19Rik
cl0_only	Sstr2
cl0_only	Ttyh2
cl0_only	Cd300lb
cl0_only	Cdr2l
cl0_only	Grb2
cl0_only	Trim47
cl0_only	Trim65
cl0_only	Rnf157
cl0_only	Prpsap1
cl0_only	Sphk1
cl0_only	Ube2o
cl0_only	Septin9
cl0_only	2900041M22Rik
cl0_only	Tmc6
cl0_only	Gm11747
cl0_only	Cbx2
cl0_only	Sgsh
cl0_only	Oxld1
cl0_only	Mrpl12
cl0_only	Mafg
cl0_only	Notum
cl0_only	Slc16a3
cl0_only	Csnk1d
cl0_only	Fn3k
cl0_only	1110002L01Rik
cl0_only	Efr3b
cl0_only	Mfsd2b
cl0_only	Matn3
cl0_only	Wdr35
cl0_only	Osr1
cl0_only	Adi1
cl0_only	Lamb1
cl0_only	Snx13
cl0_only	Mir680-3
cl0_only	Etv1
cl0_only	Lrrn3
cl0_only	Nrcam
cl0_only	Nubpl
cl0_only	Mia2
cl0_only	Mdga2
cl0_only	4930512B01Rik
cl0_only	Hif1a
cl0_only	Vti1b
cl0_only	9430078K24Rik
cl0_only	2310015A10Rik
cl0_only	Gm20337
cl0_only	Kcnk10
cl0_only	Rin3
cl0_only	Btbd7
cl0_only	Gsc
cl0_only	Bdkrb2
cl0_only	3110009F21Rik
cl0_only	Traf3
cl0_only	Cdc42bpb
cl0_only	Trmt61a
cl0_only	Klc1
cl0_only	Mir203
cl0_only	A530016L24Rik
cl0_only	Tmem121
cl0_only	Sp8
cl0_only	Itgb8
cl0_only	Dip2c
cl0_only	Epdr1
cl0_only	H1f5
cl0_only	Abt1
cl0_only	C230035I16Rik
cl0_only	Btn1a1
cl0_only	H1f3
cl0_only	H2ac6
cl0_only	H4c1
cl0_only	Prl6a1
cl0_only	Foxc1
cl0_only	Lyrm4
cl0_only	Tfap2a
cl0_only	Pak1ip1
cl0_only	Dtnbp1
cl0_only	Fam8a1
cl0_only	Nup153
cl0_only	Msx2
cl0_only	Arl10
cl0_only	Rnf44
cl0_only	Mxd3
cl0_only	Dbn1
cl0_only	Lect2
cl0_only	Klhl3
cl0_only	Gkap1
cl0_only	Gas1
cl0_only	Zfp934
cl0_only	Aopep
cl0_only	Slc35d2
cl0_only	Zfp759
cl0_only	Zfp65
cl0_only	Ube2ql1
cl0_only	Cast
cl0_only	Gpr150
cl0_only	Pou5f2
cl0_only	Arrdc3
cl0_only	C130071C03Rik
cl0_only	Zbed3
cl0_only	Crhbp
cl0_only	Pik3r1
cl0_only	Shld3
cl0_only	Shisal2b
cl0_only	Plk2
cl0_only	Ankrd55
cl0_only	Cdc20b
cl0_only	Gpx8
cl0_only	Arl15
cl0_only	Parp8
cl0_only	Fgf10
cl0_only	Top2b
cl0_only	Samd8
cl0_only	Dlg5
cl0_only	Zmiz1
cl0_only	Ppifos
cl0_only	Arf4
cl0_only	Mir7672
cl0_only	Cacna2d3
cl0_only	Tkt
cl0_only	Prkcd
cl0_only	Smim4
cl0_only	Nisch
cl0_only	Sema3g
cl0_only	Ldb3
cl0_only	Samd4
cl0_only	Lgals3
cl0_only	Ktn1
cl0_only	Arhgef40
cl0_only	Zfp219
cl0_only	Mmp14
cl0_only	Lrp10
cl0_only	Mir686
cl0_only	Dhrs1
cl0_only	Parp4
cl0_only	Fgf9
cl0_only	Cdadc1
cl0_only	Dleu2
cl0_only	Rnaseh2b
cl0_only	Fam124a
cl0_only	Gm51283
cl0_only	Blk
cl0_only	Fam167a
cl0_only	Fzd3
cl0_only	Ccdc25
cl0_only	Cdca2
cl0_only	Dock5
cl0_only	Mir6950
cl0_only	9930012K11Rik
