set,Term,P.value,Adjusted.P.value,Combined.Score,Genes
both,Ubiquitin-Dependent Protein Catabolic Process (GO:0006511),5.81767954669532e-24,3.06766242497244e-20,161.434754366947,KEAP1;UBE2L6;CCAR1;PSMD8;HERC4;PSMD9;NUB1;PSMD6;CDC23;PSMD7;RNF114;KAT5;PSMD4;PSMD2;PSMD3;WDR91;PSMD1;BTRC;SKP2;FBXO7;RNF111;FBXO9;HERC6;NHLRC3;ARRDC1;RC3H1;ARMC8;RC3H2;RNF126;CDC34;RNF125;RNF128;WDR81;KCTD10;KCTD13;TRIM13;RBCK1;KCTD17;CLOCK;RNF122;NEDD4L;AGAP3;RNF213;RNF216;RNF215;PCBP2;RNF217;PSMF1;NDFIP2;XBP1;ZRANB1;HACE1;NDFIP1;SIAH2;NTAN1;TOLLIP;FBXL4;UBXN1;PPP1R11;FAF1;TGFB1I1;ZFAND2A;ZFAND2B;KIF14;OTUD7B;HERPUD1;ANKRD9;TRIM9;UCHL1;CHMP1B;TRIM2;CHMP1A;TRIM3;ARIH2;UBXN7;ARIH1;ELOC;RNF150;UBL7;SIRT1;PSMA5;RNF168;PSMA6;PSMA3;PSMA4;PSMA1;PELI1;RNF166;WDR26;NEDD8;PSMA7;PCNP;PSMB6;PSMB7;SH3BGRL;OS9;PSMB2;PSMB3;PSMB1;SPOP;ZSWIM8;TBL1X;MARCHF6;ANKIB1;CRBN;CSNK1A1;USP9X;SYVN1;WWP1;PEX10;UBE2G1;WWP2;UBE2G2;PEX12;MIB1;RNF146;SPSB3;ITCH;SPSB1;KBTBD6;PSMC6;PSMC3;PSMC4;RNF149;NEDD4;KLHL8;RLIM;UBAP1;TRIP12;KBTBD7;SPSB4;UBE3C;UBXN2B;UBXN2A;UBE2D3;FBXO21;FBXO22;MAEA;RNF19A;MYLIP;FBXW11;FBXW7;UBE2E1;UBE4A;UBE4B;FBXO10;FBXO11;KCTD5;TRPC4AP;KCTD6;KLHL42;RBX1;TBL1XR1;PLAA;SQSTM1;PSMD12;VCP;PSMD11;TSG101;PSMD14;KLHL15;UBA6;CUL3;CUL1;RHOBTB3;UBR4;UBR3;FBXO45;BAG6;ATXN3;COP1;SHARPIN;NAE1;UBE2H;UBE2I;KLHL25;SMURF2;UBE2B;SMURF1;UBE2C;KLHL22;BFAR;UBE2A;KLHL20;CNOT4;COPS3;NSFL1C;UBE2W;APPBP2;UBXN11;UBE2S;CHMP2B;CHMP2A;MDM2;MKRN2;UBA1;NFE2L2;RNF187;GSK3B;GSK3A;RNF11;RNF13;RNF14;USP33;TNFAIP3;ARRB1;ARRB2;PTPN23;TNFAIP1;RPGR;GET4;AXIN1;VPS37C;RAD23A;AXIN2;PPP2R5C;RAD23B;PJA2;UBE2R2;CHMP3;SPOPL;CHMP7;BIRC2;RNF34;UHRF1;VPS4B;VPS4A;RNF6;AMBRA1;RNF7;CBL;RCHY1;RNF4;RNF5;RMND5B;ZNRF1;ZNRF2;HECTD1;RMND5A;ZNRF3;MVB12A;FEM1C;DCAF11;RFFL;RNF20;ATE1;FEM1A;FEM1B;RNF25;FBXL19;RNF26;FBXL17;USP28;FBXL14;CHFR;PINK1;APC;TRIM32;TAF1
both,Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161),6.56096672277806e-23,1.72979887646043e-19,163.23210276463,CCNF;CDC20;PSMD8;PSMD6;CDC23;PSMD7;KAT5;PSMD4;CDC26;PSMD2;CDC27;PSMD3;FBXO4;FBXO3;PSMD1;FBXO6;BTRC;SKP2;FBXO7;FBXO9;NHLRC3;ARMC8;RNF126;CDC34;KCTD10;KCTD13;TRIM13;RBCK1;KCTD17;CLOCK;RNF122;RNF121;ANAPC15;NEDD4L;AGAP3;UBE2J2;RNF216;PCBP2;EDEM1;SIAH2;ERLIN1;TRIP4;ERLIN2;RNF103;CDC16;FBXL3;CALR;FBXL2;FBXL5;FBXL4;FBXL6;UBXN1;FAF1;ZFAND2A;FAF2;ZFAND2B;KIF14;HERPUD1;ANKRD9;TRIM9;UCHL1;TRIM2;TRIM3;UBXN8;UBXN7;UBXN4;SIRT1;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;CANX;PELI1;WDR26;DERL1;DERL2;PSMA7;PCNP;PSMB6;AMN1;PSMB7;SH3BGRL;OS9;PSMB2;PSMB3;TMEM67;PSMB1;SPOP;ZSWIM8;TBL1X;MARCHF6;CRBN;CSNK1A1;SYVN1;TMUB1;WWP1;PEX10;UBE2G1;WWP2;UBE2G2;PEX12;TMUB2;SPSB3;ITCH;SPSB1;KBTBD6;PSMC6;PSMC3;PSMC4;TRIP12;KBTBD7;SPSB4;UBXN2B;UBXN2A;FBXO27;UBE2D3;LTN1;AUP1;MAEA;FBXW11;FBXW7;FBXO17;UBE4A;UBE4B;KCTD5;TRPC4AP;KLHL42;RBX1;SELENOS;TBL1XR1;ANAPC4;PLAA;ANAPC5;ANAPC1;PSMD12;VCP;PSMD11;PSMD14;KLHL15;CUL3;CUL2;SEL1L;CUL1;RHOBTB3;UBR3;FBXO45;UBR2;FBXO44;HSP90B1;BAG6;ATXN3;COP1;SHARPIN;TMEM129;KLHDC10;AKIRIN2;HSPA5;SMURF2;UBE2B;RHBDD2;SMURF1;UBE2C;WFS1;FBXO38;KLHL22;BFAR;UBE2A;FBXO31;KLHL20;NSFL1C;UBE2W;APPBP2;UBXN11;UBE2S;DNAJC10;MDM2;STT3B;NFE2L2;RNF187;CALR3;GSK3B;RNF10;GSK3A;ARRB1;ARRB2;TNFAIP1;AXIN1;RAD23A;AXIN2;PPP2R5C;RAD23B;PJA2;SPOPL;BIRC2;RNF34;AMBRA1;RNF4;RNF5;USP19;DNAJB2;FBXL20;RMND5B;ERLEC1;FOXRED2;ZNRF1;FZR1;ZNRF2;HECTD1;RMND5A;UBQLN1;DNAJB9;ASCC2;FEM1C;ASCC3;DCAF11;RFFL;DCAF12;UBQLN2;FEM1A;FEM1B;FBXL19;SGTA;FBXL17;FBXL18;FBXL13;FBXL14;APC;TAF1
both,DNA Metabolic Process (GO:0006259),5.68693374571538e-22,9.99573388038572e-19,162.334714772722,SMARCAL1;SMARCB1;TRRAP;NUDT1;BACH1;ALKBH3;TRIM28;CHEK1;LONP1;PCLAF;FBXO6;WDHD1;ENDOG;NSMCE3;RECQL;REV1;HUS1;SETMAR;NEIL3;CDC34;GRWD1;PSME4;DNA2;NEIL1;ASF1A;EXD2;RTEL1;SET;XPA;XPC;TERT;RAD21;HLTF;BARD1;CTC1;ZRANB3;XRCC5;INTS3;TREX1;XRCC2;XRCC3;SMARCA5;INO80;FAM111A;POLA1;RAD17;ATM;MMS19;RAD18;TOP2A;TOP2B;BTG2;FEN1;FBH1;OGG1;BRCA1;PTMS;DFFB;UPF1;PARP3;PARP1;ACTL6A;TOP3A;TERF1;DDB2;RAD51D;RAD51C;DNASE1L1;DOT1L;TYMS;UNG;RECQL4;PURA;WRN;RECQL5;NT5M;MBD4;NPM1;PTGES3;RPA1;RPA2;NOC3L;GTF2H4;HINFP;RPA3;PWWP3A;CENPS;DCLRE1B;PARK7;YY1;HELB;RUVBL2;RUVBL1;SMARCAD1;KMT5B;NBN;KPNA2;NUDT15;MEN1;GEN1;LIG1;KMT5C;USP3;LIG4;CHD1L;INIP;MSH6;MSH2;TIMELESS;UBE2V2;INO80C;BLM;INO80E;VCP;INO80D;RNASEH2A;PDS5B;PDS5A;MACROH2A1;ORC5;RAD51AP1;ORC4;ORC3;ORC2;EP400;UVRAG;UBE2B;FANCL;FANCA;LTO1;FANCC;UBE2A;FANCG;UBE2T;CDK2;CDK1;NABP2;UBE2N;NABP1;MNAT1;RAD9B;RAD9A;MUS81;MCM7;MCM9;HMGB2;HMGB3;MCM10;HMGB1;TENT4A;POLB;INSL6;HPF1;SUMO1;EXO1;TOP1MT;POLI;POLL;TOPBP1;POLH;POLG;RFC5;RFC3;RFC4;RFC2;ACTR5;ATRX;USP45;ACTR8;AXIN2;GLRX2;REXO4;TSN;NSMCE4A;RRM2B;MCM3;MCM4;MCM5;MCM6;TOP1;DCTPP1;MCM2;SAMHD1;POLD3;TBRG1;TFPT;CDC45;CBS;POLD1;TDG;POLD2;RBBP8;POLQ;TCF7L2;DUT;RRM1;CNBP;DONSON;NAP1L1;TICRR;RAD52;RAD51;ERCC4;ERCC1;POLE2;APLF;POLE3;ERCC5;RAN
both,Protein Modification Process (GO:0036211),3.24191098231956e-20,4.27364915244276e-17,91.0989684439773,GMFB;PGAP1;MAML1;ARAF;TESK2;NAA80;DCAF1;PPP4R1;TBK1;PPP4R2;AKT2;CDK20;PRKACA;PRKACB;PRKCI;CSNK2A1;DAPK2;PRKCE;CSNK2A2;DAPK3;PRKCD;ATG10;PRKCA;ATG14;ATG13;PHKA2;PRKAB1;ATG12;PRKAR1B;ADPRH;ALG10B;LIPT1;MTMR2;MTMR3;MEAF6;RPN2;CTBP1;CDCA8;MTMR4;MTMR6;PPP3R1;HLCS;ST3GAL5;ST3GAL6;ST3GAL1;ST3GAL2;ATG5;ST3GAL3;B3GALNT2;CDK17;PLK4;CDK18;CDK19;ICMT;DMPK;PLK1;EIF2AK3;FN1;EIF2AK2;ABCA7;EIF2AK4;FAM220A;MEX3B;CDK14;CDK16;PIGS;SMG1;SETD3;PRKAG1;PRKAG2;WDR45;PRKAG3;TRIOBP;IKBKB;ING4;ING5;FASTK;JAK2;JAK1;BRD2;DUSP5;ANXA1;FN3KRP;SIRT6;BAZ1B;SUMF1;SDHAF2;INCENP;PIGK;RARA;CTDP1;WDR45B;GCNT2;AGA;EGLN3;CSNK1A1;WWP2;HIPK1;HIPK3;TAOK3;TAOK1;TAOK2;COQ8B;PKN2;COQ8A;PKN1;PDCD6;UBE2D3;PLOD2;STK19;PARK7;FBXO22;CDC14B;PPP1CB;PPP1CC;STK10;PTAR1;STK11;MACROD1;PIM1;NEK1;NEK2;PIM3;MACROD2;MAP3K9;NEK3;PIM2;LARGE1;MAP3K6;MAP3K5;CDKL2;CDKL3;CSNK1G3;MAP2K1;CDKL5;DYRK1A;DYRK1B;PRPF4B;VRK1;VRK2;FBXO11;FBXW2;CDC25B;RBX1;ILF3;MAPKAPK2;TSSK6;PHPT1;CSNK1G2;BRSK1;MTM1;ATG101;STK38;ABL1;ABL2;UVRAG;NEK4;NEK6;NEK7;OGA;CDK9;CDK8;PTPRE;COPS5;CDK5;GGCX;STK24;UBLCP1;CDK4;PTPRA;STK25;COPS2;CDK2;UST;CDK1;CPE;COPS8;MAP3K12;BMPR2;LRRK2;LRRK1;PTEN;PIK3CD;PTPN22;DUSP11;DUSP12;PPP6C;TLK1;PPP1R12A;CHUK;APOA2;APOA1;WIPI1;WIPI2;RABGGTA;DDOST;PPM1A;PPM1B;NPC1;CTDSP1;DAD1;CTDSP2;BIRC5;BIRC6;PIK3C3;BECN1;PRKAA1;PRKAA2;PPM1L;ROCK1;ROCK2;PPM1H;GLRX;PPM1D;PPM1E;PPM1F;PPM1G;PTPRZ1;CCL2;FYN;FNIP2;FKTN;PTPN1;SLC35A1;METAP1D;CDC42BPG;PTPN11;CDC42BPB;PTPN12;PTPN13;MTOR;BCKDK;PINK1;SNRK;CTH;MGAT4A;MGAT4B;PTPN9;METAP1;PTPN3;APP;PPP2R2A;UBE2L6;RPS6KA4;RPS6KA5;PPP2R1B;PPP2R1A;CHEK1;RPS6KA1;PDK4;KAT7;BTRC;SEPHS1;EPHB1;PDK2;EPHB3;PDK1;ACVR1;EPHA7;COG7;COG3;ALG3;ALG1;HASPIN;CDC34;CSNK2B;SIK1;ULK1;SIK2;TRIB1;TRIB2;EPHA3;FUT10;PIK3R4;WNK4;UGCG;NUAK1;ST8SIA4;STK38L;YES1;INSR;DCLK1;PTK2;MSRA;WNK1;ATM;FBXL2;SPRR1A;PTPRU;PTPRR;PTPRS;GPAA1;PTPRM;PTPRJ;PTPRK;PTPRG;SERP2;PPP3CA;PRMT6;PARP1;STRADA;MINK1;UCHL3;CTTNBP2NL;B3GNT5;FAM20B;FAM20C;FAM20A;SGK1;SGK2;NEDD8;CAMKK2;PPP2CA;PPP2CB;PAK1;PAK3;LCMT1;PAK2;MAP4K3;MAP4K4;PAK4;PDP1;PDP2;QPCT;STK17B;ENGASE;NEK11;JADE1;JADE3;PLAT;LOXL1;TGM1;SBF1;TGM2;MORC3;FBXW11;ADAM10;LMTK2;PPP4R3B;ERN1;LOX;CCNE1;PXK;STK4;CSF2RA;STK3;TIMM50;GRK2;GRK5;FUT9;MAN2A1;GRK6;MARK4;MARK2;UBE2F;TGFB1;UBE2I;RHBDD1;SSH2;CLK3;CLK2;BMP2;FER;ATG16L2;UBE2S;STT3A;UBA3;TAF4B;MAN2B1;STT3B;TAB1;BMPR1A;FGFR1;UBE2M;GSK3B;DYRK3;GSK3A;DYRK2;MAST2;GMPPB;PPP2R5E;RB1CC1;SENP8;PDPK1;PPP2R5B;PPP2R5A;PPP2R5D;OXSR1;PPP2R5C;YWHAZ;TGFBR1;TGFBR2;CCNA2;FGR;CREB1;LATS2;PEAK1;ATG4C;B4GALT7;CILK1;ATG4D;B4GALT5;CAMK2D;PDXP;RNF7;ACVR1B;AURKB;RNF2;AURKA;MAPK9;MAPK8;MKNK1;ERBB2;MKNK2;MAPK1;MAPK6;MAPK3;ARFGEF1;ATE1;USP25;TAF12;TAF13;LIMK2;TAF10;LIMK1;TAF11;PPP2R3A;ACVR2B;ACVR2A;TAF8;AQP11;TAF7;TAF6;TAF5;TAF4;TAF3;TAF2;TAF1
both,Proteasomal Protein Catabolic Process (GO:0010498),6.53954210505422e-19,6.89660110399018e-16,149.70540771788,UBXN2B;UBXN2A;UBE2D3;PSMD8;PSMD6;PSMD7;MAEA;KAT5;PSMD4;PSMD2;PSMD3;PSMD1;BTRC;SKP2;FBXO7;FBXO9;NHLRC3;FBXW11;FBXW7;DNAJB12;UBE4B;ARMC8;KCTD5;KLHL42;RBX1;RNF126;CDC34;KCTD10;TBL1XR1;PSME4;KCTD13;TRIM13;PLAA;RBCK1;KCTD17;CLOCK;RNF122;PSMD12;VCP;PSMD11;PSMD14;CUL3;SEL1L;CUL1;RHOBTB3;NEDD4L;FBXO45;AGAP3;DTX4;FBXO44;BAG6;ATXN3;COP1;SHARPIN;RNF216;PCBP2;SOCS6;XBP1;SMURF2;UBE2B;SMURF1;SIAH2;RHBDD1;KLHL22;BFAR;NR1D1;UBE2A;KLHL20;NSFL1C;UBE2W;APPBP2;UBXN11;RCAN3;MDM2;NFE2L2;RNF187;GSK3B;GSK3A;UBXN1;FAF1;ZFAND2A;CCDC47;ZFAND2B;KIF14;ARRB1;ARRB2;TNFAIP1;PRPF19;ANKRD9;TRIM9;UCHL1;TRIM2;DDI2;ENC1;TRIM3;UBXN7;UBXN6;AXIN1;RAD23A;AXIN2;PPP2R5C;SIRT1;RAD23B;PJA2;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;PELI1;SPOPL;BIRC2;WDR26;RNF34;DERL1;AMBRA1;RNF4;RNF5;PSMA7;PCNP;PSMB6;RMND5B;PSMB7;ERLEC1;ZNRF1;SH3BGRL;ZNRF2;HECTD1;RMND5A;PSMB2;RNF139;PSMB3;PSMB1;SPOP;ZSWIM8;FEM1C;TBL1X;DCAF11;RFFL;MARCHF6;ATE1;CRBN;CSNK1A1;FEM1B;FBXL19;SYVN1;FBXL17;WWP1;PEX10;UBE2G1;WWP2;PEX12;SPSB3;ITCH;SPSB1;KBTBD6;PSMC6;PSMC3;APC;PSMC4;TRIP12;KBTBD7;SPSB4
both,DNA Damage Response (GO:0006974),8.49973507918655e-19,7.46985051209178e-16,105.735455748948,ATF2;SMARCAL1;ANKLE1;TRRAP;NUDT1;SMC5;ALKBH7;BACH1;ALKBH8;ALKBH3;HERC2;KAT5;TRIM28;MYC;CHEK1;PCLAF;FBXO6;FBXO5;IER3;WDHD1;ARMT1;ENDOG;DDX11;NSMCE3;METTL3;PRKCD;NSMCE1;RECQL;HUS1;DEPDC1B;PSME4;FLYWCH1;ASF1A;RTEL1;DCUN1D5;STXBP4;XPA;XPC;CDKN2AIP;MRNIP;HLTF;BARD1;ZRANB3;CRADD;XRCC5;INTS3;TREX1;XRCC2;XRCC3;SMARCA5;NFATC2;INO80;ACER2;SETX;FAM111A;POLA1;SPDYA;RAD17;ATM;GRB2;MMS19;HROB;RAD18;H2AX;TOP2A;BTG2;CDKN1A;FEN1;SMG1;WDR48;FBH1;OGG1;PHF1;SUV39H1;ASH2L;BRCA1;RPTOR;ING2;NIPBL;PAXX;VAV3;UPF1;SHPRH;PARP1;SIRT4;BAZ1B;SIRT1;DDB2;RNF168;RAD51D;RAD51C;WAC;CEP63;MAPT;YAP1;DOT1L;XIAP;FAAP20;TANK;UNG;RECQL4;BCLAF1;PAK1;WRN;RECQL5;SUSD6;APBB1;BID;MBD4;NPM1;SLF1;TIGAR;SLF2;RPA1;GTF2H4;HINFP;MAD2L2;ETAA1;TAOK3;TTC5;RFWD3;RPA3;TAOK1;TAOK2;PWWP3A;TRIP12;CENPS;KDM1A;CIB1;PARK7;YY1;HELB;STK11;CCND1;CHCHD6;HMCES;MACROD1;KMT5B;MTREX;MACROD2;MEN1;LIG1;KMT5C;USP3;UBE2E2;VRK1;CHD1L;PPP4R3B;INIP;FOXP1;RBX1;MSH6;MSH2;MAPKAPK2;TIMELESS;BRSK1;BLM;VCP;FBXO45;PDS5B;PSEN1;PDS5A;MACROH2A1;FOXO1;RAD51AP1;BCL2L11;UBR5;ABL1;EP400;NAE1;MAP2K6;MCL1;MOAP1;UVRAG;CBX5;NEK4;UBE2B;FANCL;CBX1;FANCA;FANCC;UBE2A;FANCG;FBXO31;UBE2T;BCL3;CDK1;NABP2;NABP1;UBA1;MNAT1;RAD9B;BCL2L2;BCL2L1;RAD9A;MUS81;DYRK2;MCM7;MCM9;MCM10;TENT4A;CASP9;POLB;INSL6;HPF1;SUMO1;EXO1;MLST8;CASP2;POLI;TOPBP1;POLH;BOK;RFC5;USP47;RFC3;RFC4;RFC2;ATRX;USP45;MASTL;SPIDR;REXO4;NSMCE4A;RRM2B;CRY1;OTUB1;PPP1R15A;NFAT5;USP16;USP10;BRAT1;SAMHD1;ZBTB40;POLD1;E2F1;RBBP8;FNIP2;MAPK3;POLQ;RRM1;USP28;MAPK12;MTOR;TICRR;RAD51;APC;ERCC4;ERCC1;POLE2;SHLD2;APLF;POLE3;SHLD1;BAX;NRDE2;TAF1
both,DNA Repair (GO:0006281),8.41201662218478e-17,6.33665194982576e-14,101.824683094474,SMARCAL1;TRRAP;NUDT1;BACH1;ALKBH3;ALKBH2;KAT5;TRIM28;CHEK1;FBXO6;FAAP100;WDHD1;NSMCE3;RECQL;HUS1;DEPDC1B;NEIL3;PSME4;DNA2;NEIL1;ASF1A;RHNO1;EXD2;TEX264;XPA;XPC;RAD21;HLTF;NHEJ1;BARD1;ZRANB3;XRCC4;XRCC5;INTS3;TREX1;XRCC2;XRCC3;SMARCA5;INO80;SETX;FAM111A;POLA1;RAD17;ATM;MMS19;HROB;RAD18;H2AX;BTG2;FEN1;SETD2;FBH1;CETN2;OGG1;BRCA1;BRCA2;UIMC1;TNKS1BP1;PRMT6;UPF1;PARP3;PARP1;SIRT6;COMMD1;PARP9;SIRT1;DDB2;WDR33;RNF168;RAD51D;RAD51C;PCNA;DOT1L;FAAP24;FAAP20;UNG;RECQL4;WRN;RECQL5;PMS1;CDKN2D;MBD4;NPM1;CENPX;ERCC6L2;HUWE1;RPA1;RPA2;GTF2H2;MLH1;APTX;GTF2H4;HINFP;MAD2L2;RFWD3;RPA3;PWWP3A;TRIP13;CENPS;DCLRE1B;DCLRE1A;MPG;CIB1;NUCKS1;PARK7;EME1;KMT5B;NBN;MEN1;PIAS4;SLC30A9;LIG1;KMT5C;USP3;LIG4;WRNIP1;CHD1L;INIP;MSH6;MSH2;TIMELESS;UBE2V2;UBE2V1;RNASEH2C;BLM;VCP;RNASEH2A;DDX1;PDS5B;PDS5A;MACROH2A1;RAD51AP1;ATXN3;EP400;FANCI;UVRAG;UBE2B;FANCL;FANCA;HMGA2;FANCC;UBE2A;FANCE;FANCG;UBE2T;CDK1;NABP2;UBE2N;NABP1;MNAT1;RAD9B;RAD9A;MUS81;TENT4A;POLB;HPF1;SUMO1;EXO1;EXO5;POLI;POLL;TOPBP1;POLH;RFC5;USP47;RFC3;RFC4;RFC2;ACTR5;ATRX;USP45;RAD23A;ACTR8;RAD23B;REXO4;NSMCE4A;RRM2B;PRIMPOL;POLD3;POLD1;TDG;RBBP8;ASCC2;ASCC3;POLQ;RRM1;EYA1;ASCC1;EYA3;TICRR;RAD52;SMUG1;RAD51;ERCC4;ERCC1;POLE2;APLF;ERCC2;ERCC5;ERCC6
both,Double-Strand Break Repair (GO:0006302),5.66651036762198e-14,3.65233059090361e-11,103.878677037245,DCLRE1B;DCLRE1A;SMARCAL1;ANKLE1;TONSL;CIB1;NUCKS1;SMC5;YY1;ZFYVE26;EME1;KAT5;EPC1;MEIOB;SMARCAD1;NBN;AP5S1;GEN1;PIAS4;KDM2A;NSMCE3;NSMCE1;RECQL;HUS1;LIG4;SETMAR;INIP;MORF4L1;DEPDC1B;UBE2V2;DNA2;EXD2;BLM;VCP;PSMD14;DDX1;RAD51AP1;PPP4C;RAD21;SWI5;NHEJ1;HELQ;XRCC4;XRCC5;INTS3;XRCC2;XRCC3;INO80;PALB2;IFFO1;SEM1;SETX;POLA1;NABP2;UBE2N;NABP1;ATM;H2AX;MUS81;SWSAP1;FEN1;WDR48;FBH1;MCM9;HMGB2;CHD4;BRCA1;HMGB1;BRCA2;PRPF19;TENT4A;POLB;HPF1;PAXX;SFR1;UIMC1;TNKS1BP1;POLL;CYREN;PARP3;PARP1;ACTR5;TOP3A;SIRT6;ACTR8;PARP9;SPIDR;RNF168;MMS22L;RAD51D;SFPQ;NSMCE4A;RAD51C;NPC1;AP5Z1;SAMHD1;RAD54B;RECQL4;WRN;RECQL5;RNF138;RBBP8;ZSWIM7;POLQ;SLF1;SLF2;EYA1;KDM4D;POLM;EYA3;RPA1;RPA2;MAD2L2;RAD52;RAD51;ERCC4;ERCC1;RFWD3;RPA3;APLF;AUNIP;ERCC5;TRIP13
both,"mRNA Splicing, Via Spliceosome (GO:0000398)",6.23382805198796e-14,3.65233059090361e-11,89.1075468693235,DBR1;EIF4A3;HNRNPU;HNRNPR;WDR83;CWC25;CASC3;CWC27;EFTUD2;PNN;SNRPD1;RBMX2;MAGOH;CWC22;MTREX;SNRNP35;TXNL4A;DDX17;SRRM2;AQR;SCAF11;METTL3;PRPF4B;CRNKL1;CDC40;SRRM1;WDR77;PRPF6;DDX39B;PRPF3;GEMIN4;SNRPG;SRSF2;PPIE;SNRNP27;SRSF3;GEMIN6;PPIH;SNRPE;SRSF4;GEMIN7;GEMIN8;SRSF6;SRSF7;SNRPA;SRSF9;ZCCHC8;DDX5;DHX8;DHX9;YTHDC1;DDX1;CWF19L2;HTATSF1;RNPC3;ESS2;PRPF8;ZMAT2;DHX35;DHX38;SMN1;RBM10;ZRSR2;HSPA8;PRPF38A;LSM5;LSM4;SMU1;HNRNPM;LSM8;HNRNPK;SNW1;LSM6;HNRNPF;CWF19L1;RSRP1;PIN1;HNRNPC;CDK13;ISY1;DDX46;DDX41;PRPF19;PQBP1;SYNCRIP;RBM4;METTL14;SART3;RSRC1;SNRNP70;DHX15;DHX16;BCAS2;CTNNBL1;RBM5;RBM6;PRMT5;RBM17;USP49;RBM19;PRPF40B;PRPF40A;PLRG1;GCFC2;SFPQ;SCNM1;HNRNPH1;SYF2;FRG1;SDE2;STRAP;SNRPA1;HNRNPH3;PABPC1;CACTIN;SLU7;RBM22;SF3B4;SF3B5;SF3B2;TSSC4;SF3B6;DDX23;SRSF1;DDX20;RBM4B;U2AF1;PUF60;U2AF2;TRA2B;TRA2A;RALY;SNRPB2;DCPS;SF3B1;SRSF10;SF3A3;HNRNPA3;CDC5L;XAB2;PHF5A;NOVA1;NOVA2;HNRNPA2B1;RBM41;RBM42;BUD13;FRA10AC1
both,mRNA Processing (GO:0006397),1.34921098156192e-13,7.11438950577601e-11,84.735590006222,TCERG1;DBR1;EIF4A3;HNRNPU;HNRNPR;WDR83;CWC25;CASC3;CWC27;EFTUD2;PNN;ALKBH5;SNRPD1;RBMX2;MAGOH;CWC22;PAPOLA;MTREX;PRKACA;SNRNP35;TXNL4A;CMTR1;CMTR2;SRRM2;AQR;SCAF11;METTL3;PRPF4B;CRNKL1;FBXO11;CDC40;SRRM1;ERN1;PRPF6;DDX39B;PRPF3;SNRPG;SRSF2;PPIE;SNRNP27;SRSF3;GEMIN6;PPIH;SNRPE;SRSF4;GEMIN7;SRSF6;SRSF7;SNRPA;SRSF9;ZCCHC8;DDX5;DHX8;YTHDC1;CWF19L2;HTATSF1;RNPC3;ESS2;PRPF8;ZMAT2;DHX35;DHX38;RPRD1A;RBM10;HEXIM1;ZRSR2;HSPA8;PRPF38A;CPSF6;ALYREF;LSM5;LSM4;SMU1;HNRNPM;LSM8;HNRNPK;SNW1;LSM6;HNRNPF;CWF19L1;PIN1;HNRNPC;ISY1;DDX46;CELF1;DDX41;PRPF19;SYNCRIP;RBM4;METTL14;SART3;RSRC1;SNRNP70;DHX15;DHX16;BCAS2;CTNNBL1;RBM5;RBM6;USP49;RBM19;PRPF40B;PRPF40A;PLRG1;GCFC2;MBLAC1;SFPQ;PRPF18;HNRNPH1;SYF2;FRG1;SNRPA1;HNRNPH3;PABPC1;CACTIN;SLU7;RBM22;SF3B4;SF3B5;SF3B2;SF3B6;DDX23;SRSF1;RBM4B;U2AF1;TBRG4;U2AF2;TRA2B;TRA2A;RALY;SNRPB2;SF3B1;SRSF10;HNRNPA0;SF3A3;HNRNPA3;RNGTT;CDC5L;RPRD2;NUDT21;XAB2;PHF5A;NOVA1;NOVA2;HNRNPA2B1;RBM41;RBM42;BUD13;FRA10AC1
