p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	5.503154920356711	0.752	0.1	0	OEC	Kctd12
0	7.126777241170733	0.712	0.095	0	OEC	Npy
0	6.944082876632017	0.634	0.023	0	OEC	Frzb
0	7.45937543590609	0.583	0.007	0	OEC	Foxd3
0	5.747651673219601	0.596	0.035	0	OEC	Mest
0	4.9734459687702	0.582	0.03	0	OEC	Fbln2
0	5.068806889542434	0.579	0.029	0	OEC	Wnt6
0	6.7254637471179395	0.547	0.016	0	OEC	Igf1
0	4.381973685984515	0.59	0.061	0	OEC	Nell2
0	6.360161046363109	0.522	0.015	0	OEC	Sgcd
0	5.104325956779748	0.5	0.028	0	OEC	Shisa2
6.388478732915529e-305	3.754810191534364	0.514	0.045	1.9838781857195886e-300	OEC	Hpgd
2.0369958204272908e-296	4.410963026779761	0.511	0.05	6.325686820754909e-292	OEC	Col11a1
1.4902585404556517e-286	3.8406738651929366	0.558	0.069	4.6278488715309806e-282	OEC	Fxyd6
7.405552852312072e-277	2.6712407772141593	0.642	0.104	2.2997203827569905e-272	OEC	Igfbp4
9.080377031087935e-228	3.7179217796170727	0.602	0.127	2.8198202832340473e-223	OEC	Cd200
1.6681246811409688e-224	4.27737254533494	0.544	0.101	5.180194384815165e-220	OEC	Lpcat2
1.749903487788435e-223	3.185401625438227	0.604	0.123	5.4341502909782056e-219	OEC	Hey2
1.2071728437267605e-219	2.198318390448555	0.558	0.084	3.748754548909082e-215	OEC	Ctsh
3.481211562482046e-218	3.6863286732232377	0.536	0.095	1.0810554386131745e-213	OEC	Col23a1
4.639959481792769e-214	2.9974472397750986	0.547	0.096	1.4408930174759267e-209	OEC	Col5a2
1.926012490159611e-211	3.3600280958233055	0.574	0.117	5.9810391869416565e-207	OEC	Nme7
1.2157783430385772e-202	3.5793727105489292	0.69	0.227	3.775478066471998e-198	OEC	Matn4
4.271589325891386e-195	3.6844656098100397	0.613	0.154	1.3264993492623111e-190	OEC	Igfbp5
7.63220415733804e-192	3.119949603511018	0.538	0.107	2.370104679019755e-187	OEC	Rcn1
8.734470679573443e-189	2.9131751880057877	0.741	0.279	2.712402524834737e-184	OEC	Fam3c
4.846168072848945e-184	2.539661646734027	0.89	0.443	1.5049290333425115e-179	OEC	Apod
