gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Fmn2,5.63568231946383e-13,1.4496687382142,0.541,0.175,1.22902960022867e-08
Zfp521,5.69755055906674e-13,1.52749100691338,0.497,0.149,1.24252182592127e-08
Plcb4,6.34586703874124e-12,1.37254703607187,0.566,0.242,1.38390668380869e-07
Zfp536,1.10097842491338e-11,-2.41860443946091,0.094,0.264,2.40101374905111e-07
Pex5l,3.18543583988674e-10,-2.05340142246133,0.101,0.27,6.94679847962499e-06
App,8.2616059330862e-10,-2.09680622937688,0.069,0.244,1.80169102188744e-05
Tmeff2,2.03313726966463e-09,-1.85437251697037,0.119,0.291,4.43386575768461e-05
Ank3,3.0162417160396e-09,-1.47112768803269,0.277,0.419,6.57781993433917e-05
Pbx1,1.2929348459215e-08,1.37061542429142,0.497,0.161,0.00028196323119856
Pitpnc1,1.35833854904609e-08,1.9197496205537,0.296,0.062,0.000296226470775972
Tnik,1.81170423651037e-08,1.43510620157161,0.428,0.147,0.000395096459898182
Dock10,1.92341408526912e-08,-1.95341904913267,0.069,0.23,0.000419458143715491
Utrn,8.54077623741851e-08,0.80113816425047,0.642,0.338,0.00186257248185623
Gli2,1.26693827262491e-07,1.55947070694658,0.296,0.099,0.00276293898494041
Lrrc8d,1.95282295679129e-07,-2.49036017990139,0.031,0.125,0.00425871630417045
Plcl1,2.09344368050347e-07,-1.65398369550879,0.088,0.236,0.00456538197844197
Nebl,2.86601293046426e-07,1.11997165879193,0.472,0.19,0.00625020099875645
Prkce,3.05119059725195e-07,0.917228471592886,0.535,0.248,0.00665403645448704
Hoxc9,3.60333999370982e-07,5.63545989894621,0.031,0,0.00785816385828238
Fat3,3.77128171862479e-07,0.797585341541692,0.635,0.325,0.00822441117197694
Sybu,4.64668522522184e-07,1.32956333984797,0.346,0.125,0.0101334911391638
Nhsl1,4.8592303939823e-07,1.79685507444338,0.252,0.06,0.0105970096431966
Akap6,5.01857839439452e-07,1.08621591589237,0.459,0.217,0.0109445157624956
Nwd1,5.77226198264619e-07,1.78505691250638,0.22,0.055,0.0125881489317548
Pparg,6.66376571060176e-07,1.67962457926366,0.252,0.062,0.0145323402616803
Dock4,1.6192380097748e-06,0.962128255977771,0.541,0.261,0.0353123425171688
Slc12a2,2.39229665178733e-06,-2.27051548475126,0.025,0.114,0.052171205382178
Trps1,2.42530687591663e-06,1.3062553044503,0.365,0.103,0.0528910923499899
Pex14,3.92657055385323e-06,1.65251773745085,0.226,0.078,0.0856306506384313
Slc24a2,4.04480366502913e-06,-1.53144885969746,0.113,0.247,0.0882090783269553
Notch2,4.15233090807528e-06,1.56813724381116,0.214,0.068,0.0905540324433058
Gpam,4.2565750645548e-06,2.86661969543025,0.107,0.014,0.0928273890078111
Tiam2,4.32983697416529e-06,1.36879932523763,0.302,0.109,0.0944250847325967
Tns3,4.72405366248491e-06,-1.50840039018047,0.157,0.222,0.103022162271471
Nos1ap,5.08053115468121e-06,0.97634039290194,0.44,0.205,0.110796223421288
Pygb,5.79055840526589e-06,2.0366620606025,0.176,0.038,0.126280497702038
Luzp2,6.04033243478704e-06,0.981203439293905,0.478,0.201,0.131727569737836
Hivep2,6.13439952685564e-06,0.955990901306766,0.447,0.221,0.133778984881668
Lhfp,6.97038891132612e-06,1.51374918756316,0.264,0.085,0.1520102413782
Hsp90aa1,8.93332641213206e-06,-1.61579302087833,0,0.029,0.194817982395776
Tle4,9.54335145913196e-06,1.27674349956874,0.308,0.11,0.20812140862075
Slain1,1.05357228796953e-05,-2.72152619343305,0.013,0.096,0.229763044560395
Dnm3,1.05425947856543e-05,-1.20523456953558,0.22,0.315,0.229912907085548
Dtna,1.1761693517575e-05,1.13863269168794,0.346,0.126,0.256499012231275
Ilvbl,1.23870261153415e-05,-2.0864879705994,0,0.037,0.270136265523368
Dpf3,1.30765219100427e-05,1.19462138562575,0.352,0.141,0.285172789814212
Camk2d,1.33993010071855e-05,0.94762401299778,0.421,0.179,0.292211956364701
Abca1,1.55718513727229e-05,1.68497609251043,0.226,0.054,0.33959093473634
Syn2,1.55999515013906e-05,1.41631041330852,0.245,0.078,0.340203742342327
Camk1d,1.57514184829913e-05,0.838391121878922,0.509,0.244,0.343506934277075
Cecr2,1.65949096556272e-05,1.70505164465752,0.189,0.05,0.361901789769919
Epb4.1l5,1.74454604011795e-05,1.5231422632845,0.226,0.071,0.380450600428922
Brinp3,2.21040125614687e-05,0.763241667678118,0.472,0.27,0.482044305940509
Sema4d,2.26037775946396e-05,-2.15391972425976,0.013,0.065,0.492943181783901
Apbb1,2.26820190752866e-05,-2.18420912130774,0,0.04,0.49464947199385
Slc44a1,2.34449932073512e-05,-2.02369492577583,0.075,0.148,0.511288411865916
Bin1,2.65545006558915e-05,-1.96303786764523,0.038,0.123,0.579100550303681
Tmem241,2.66733958025224e-05,1.11003770840113,0.321,0.115,0.581693415661409
Nfia,2.90906642829287e-05,1.362194238868,0.34,0.1,0.634409206682109
Arhgef10,2.93050498665372e-05,-1.97309522098045,0.044,0.117,0.639084527489443
Stt3b,3.60581653474448e-05,1.41943234460642,0.208,0.067,0.786356469897075
Trak1,3.62631356068625e-05,1.50378488537381,0.22,0.063,0.790826461314456
Slc4a4,3.68556314536708e-05,1.19615699801459,0.327,0.112,0.803747610741652
Pdlim5,3.75045155753433e-05,0.917546979614327,0.415,0.18,0.817898475667087
Sh3rf1,3.79850471245589e-05,1.0286787866254,0.384,0.151,0.828377907692381
Trim9,4.19309515122452e-05,1.68129784367188,0.189,0.051,0.914430190579043
Ankrd44,4.57234455019403e-05,-1.03907826602183,0.233,0.313,0.997136899506315
Aff1,4.78346908710149e-05,1.46856091365091,0.239,0.084,1
Zbtb40,4.80304828619498e-05,1.40757778607864,0.214,0.062,1
Helz,4.80388207602338e-05,1.51064492894477,0.22,0.07,1
St18,5.01224257026889e-05,-1.2112504340691,0.189,0.305,1
Ephb1,5.18081884672829e-05,-1.26738190911519,0.189,0.266,1
Erbb2ip,5.34549771840375e-05,-2.18209033716709,0.006,0.055,1
Kif13b,5.46521243695501e-05,-1.95138452313637,0.025,0.088,1
D630011A20Rik,5.64480900931329e-05,2.46810333645298,0.094,0.019,1
Slc22a23,5.64838726135756e-05,-1.70857270931865,0.063,0.131,1
Hivep1,5.65683202791808e-05,1.34351732434586,0.245,0.082,1
Hoxc5,5.85405678619288e-05,2.90806603660334,0.063,0.009,1
Arhgef4,6.66846612138174e-05,1.4855803256107,0.245,0.071,1
Pid1,7.85113906385471e-05,0.806572935313389,0.371,0.201,1
1700066M21Rik,7.9105721983164e-05,-1.94765061151113,0,0.033,1
Ikzf3,8.00199856609851e-05,1.71317844859068,0.151,0.043,1
Grb14,8.29952966417772e-05,-1.4840726483084,0.082,0.159,1
Ubr5,8.49835561060893e-05,1.74823413935141,0.164,0.046,1
Wdr17,8.59536199017507e-05,0.77674030536281,0.478,0.212,1
