gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Rorb,0,3.93586504473033,0.932,0.14,0
Slc39a12,0,4.20077649734638,0.921,0.144,0
Fgfr3,0,3.95528170088931,0.941,0.169,0
Acsl6,0,4.05645303839043,0.944,0.173,0
Btbd17,0,3.87320269786005,0.951,0.186,0
Phkg1,0,3.91888477445694,0.901,0.139,0
Ntm,0,3.9098620889467,0.978,0.217,0
Aqp4,0,4.14011133921174,0.987,0.226,0
Gabrb1,0,3.93606913821364,0.878,0.119,0
S1pr1,0,3.78501027365014,0.972,0.22,0
Cldn10,0,4.16094694341166,0.986,0.235,0
Gjb6,0,3.53036745086836,0.93,0.195,0
Cxcl14,0,4.01655547722705,0.889,0.155,0
Slc7a10,0,4.06289289958164,0.986,0.263,0
Ntsr2,0,4.11813654902981,0.99,0.278,0
Slc6a11,0,4.21373454836516,0.97,0.261,0
Sox9,0,3.31885663666844,0.886,0.178,0
Ramp1,0,3.57581929851169,0.908,0.203,0
Acsbg1,0,3.02049616232714,0.911,0.221,0
Timp4,0,2.57757970230443,0.924,0.237,0
Id2,0,3.60950513658035,0.964,0.278,0
Lfng,0,3.82437229557587,0.818,0.134,0
Gpm6a,0,3.31396134161911,0.935,0.252,0
Chchd10,0,3.47257059935294,0.913,0.232,0
Eva1a,0,3.83039129876438,0.785,0.111,0
Mlc1,0,3.89596412416034,0.802,0.128,0
Pla2g7,0,3.73540600614755,0.973,0.301,0
Grk3,0,3.17712327803699,0.849,0.178,0
Slc25a18,0,3.99514963810511,0.8,0.133,0
App,0,-4.30760458052462,0.266,0.933,0
Nrxn1,0,3.41698235708677,0.979,0.312,0
Arpc1b,0,-4.08814954661607,0.097,0.763,0
Nrcam,0,3.02690203935923,0.893,0.228,0
Gm3764,0,3.92598028980142,0.986,0.322,0
Pou3f2,0,3.66936948355773,0.766,0.106,0
Nkain4,0,3.30763011951236,0.902,0.245,0
Kcnk1,0,3.56431104869477,0.875,0.218,0
Mt2,0,3.73942552678798,0.976,0.323,0
Trim9,0,3.35124609051337,0.831,0.18,0
Tlcd1,0,3.07375145368745,0.905,0.256,0
Gpc5,0,4.11649762292636,0.737,0.089,0
Slc38a2,0,-3.79672332660812,0.134,0.78,0
Arhgef26,0,3.69237290425238,0.775,0.132,0
Ednrb,0,2.89521660099437,0.92,0.277,0
Tmsb10,0,-5.14875303227673,0.049,0.687,0
Sox10,0,-5.21798543561701,0.039,0.677,0
Dbx2,0,3.84649588681733,0.737,0.099,0
Tril,0,3.21223836608605,0.96,0.329,0
Sdc4,0,2.7334177949009,0.953,0.323,0
Entpd2,0,3.74800235292119,0.754,0.125,0
Anks1b,0,-5.47460730373409,0.048,0.674,0
Chst1,0,3.94454575503582,0.716,0.091,0
Lpar1,0,-5.26563453922868,0.044,0.668,0
Slc12a2,0,-4.35174893062022,0.122,0.745,0
Cald1,0,-6.20131112924185,0.039,0.661,0
F3,0,3.17730939173215,0.979,0.362,0
Kcnn2,0,3.5714495821136,0.742,0.128,0
Dclk1,0,3.54422377374996,0.915,0.303,0
Lgi1,0,3.72384344405288,0.753,0.142,0
Map1b,0,-5.19077196886377,0.042,0.648,0
Marcksl1,0,-3.5061607309616,0.119,0.724,0
Vcam1,0,2.2442096791709,0.783,0.18,0
Edil3,0,-5.54764549752034,0.031,0.634,0
Paqr7,0,3.29314904099815,0.851,0.251,0
Fjx1,0,3.32944377122672,0.851,0.257,0
Gal3st1,0,-5.0932816875307,0.034,0.628,0
Slc44a1,0,-3.9227178096541,0.146,0.739,0
Ncald,0,-3.84293406951579,0.054,0.647,0
Apod,0,-5.82771313475157,0.187,0.779,0
