original_index,cl0_signal,cl1_signal,score,order_index,order_rank,source_loci,cl0_order_rows,cl1_order_rows,cl0_heatmap_rows,cl1_heatmap_rows,order_length,order_matches_cl0,order_matches_cl1
1,14.7442288724785,31.214620728778,460.235512192715,4805,7653,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2,26.2023275181153,23.5140814650747,616.123663835532,4807,7034,9273,9273,9273,9273,9273,9273,TRUE,TRUE
3,91.3932824429501,136.276303580638,12454.7387034264,4806,281,9273,9273,9273,9273,9273,9273,TRUE,TRUE
4,21.1270007197062,43.6828192265828,922.886953238812,7130,5904,9273,9273,9273,9273,9273,9273,TRUE,TRUE
5,95.4180018548612,146.714745627509,13999.2278704212,9228,233,9273,9273,9273,9273,9273,9273,TRUE,TRUE
6,73.162039036221,127.363804786117,9318.19565756352,8042,469,9273,9273,9273,9273,9273,9273,TRUE,TRUE
7,93.9513631941955,97.5132802649041,9161.50561042538,8044,480,9273,9273,9273,9273,9273,9273,TRUE,TRUE
8,24.4321845313099,17.1293966569633,418.50858003293,40,7828,9273,9273,9273,9273,9273,9273,TRUE,TRUE
9,72.301955346708,115.754913753933,8369.30660539892,8040,562,9273,9273,9273,9273,9273,9273,TRUE,TRUE
10,57.5317043947451,343.750935577624,19776.5772110689,4661,118,9273,9273,9273,9273,9273,9273,TRUE,TRUE
11,44.0991224152701,45.3604607127962,2000.35650978665,9272,3360,9273,9273,9273,9273,9273,9273,TRUE,TRUE
12,36.0847745462721,52.5026030721687,1894.54459495162,7991,3541,9273,9273,9273,9273,9273,9273,TRUE,TRUE
13,16.1226543140411,27.8999604654312,449.821417959562,3693,7694,9273,9273,9273,9273,9273,9273,TRUE,TRUE
14,24.1314920624462,76.426955796163,1844.29647715203,3692,3621,9273,9273,9273,9273,9273,9273,TRUE,TRUE
15,26.2953471410406,75.5992325007261,1987.90806220283,3790,3382,9273,9273,9273,9273,9273,9273,TRUE,TRUE
16,15.9722378638056,14.0998923910989,225.206835124693,477,8653,9273,9273,9273,9273,9273,9273,TRUE,TRUE
17,27.3387047131856,54.7671081225077,1497.26179695635,6705,4306,9273,9273,9273,9273,9273,9273,TRUE,TRUE
18,52.5298992721489,47.6247040359429,2501.72090587398,7134,2736,9273,9273,9273,9273,9273,9273,TRUE,TRUE
19,31.7903665304184,92.2786119818688,2933.57089782187,555,2330,9273,9273,9273,9273,9273,9273,TRUE,TRUE
20,50.9449063182958,73.269197881762,3732.69242210304,2655,1766,9273,9273,9273,9273,9273,9273,TRUE,TRUE
21,21.4047636267959,56.4962782500893,1209.28948173685,7762,5055,9273,9273,9273,9273,9273,9273,TRUE,TRUE
22,31.179632988584,49.6953124354085,1549.48160298905,4454,4172,9273,9273,9273,9273,9273,9273,TRUE,TRUE
