original_index,cl0_signal,cl1_signal,score,order_index,order_rank,source_loci,cl0_order_rows,cl1_order_rows,cl0_heatmap_rows,cl1_heatmap_rows,order_length,order_matches_cl0,order_matches_cl1
1,1.93072337508202,5.49853844165802,5.49853844165802,9995,11144,12821,12821,12821,12821,12821,12821,TRUE,TRUE
2,4.88228991031647,27.6199547290802,27.6199547290802,10220,5004,12821,12821,12821,12821,12821,12821,TRUE,TRUE
3,1.44249336481094,10.1824779510498,10.1824779510498,4059,9926,12821,12821,12821,12821,12821,12821,TRUE,TRUE
4,3.93407601876692,43.2755241394043,43.2755241394043,59,2451,12821,12821,12821,12821,12821,12821,TRUE,TRUE
5,0.249662241339684,24.7561247825623,24.7561247825623,2800,5653,12821,12821,12821,12821,12821,12821,TRUE,TRUE
6,4.87436527865274,34.3658339296068,34.3658339296068,7057,3695,12821,12821,12821,12821,12821,12821,TRUE,TRUE
7,0,0,0,6844,12178,12821,12821,12821,12821,12821,12821,TRUE,TRUE
8,6.81889331646455,8.00672739795131,8.00672739795131,6845,10505,12821,12821,12821,12821,12821,12821,TRUE,TRUE
9,6.04383428299681,15.0299765759326,15.0299765759326,5203,8394,12821,12821,12821,12821,12821,12821,TRUE,TRUE
10,1.5380732434811,44.1576347563526,44.1576347563526,3005,2362,12821,12821,12821,12821,12821,12821,TRUE,TRUE
11,0.896223462544955,28.0888186744136,28.0888186744136,12820,4878,12821,12821,12821,12821,12821,12821,TRUE,TRUE
12,0.352395814547702,34.3491290460421,34.3491290460421,5202,3702,12821,12821,12821,12821,12821,12821,TRUE,TRUE
13,4.11409550568996,5.8745046273256,5.8745046273256,7060,11062,12821,12821,12821,12821,12821,12821,TRUE,TRUE
14,3.54534272449773,11.6353351848881,11.6353351848881,2436,9463,12821,12821,12821,12821,12821,12821,TRUE,TRUE
15,1.74214345533491,5.74301394978583,5.74301394978583,8564,11096,12821,12821,12821,12821,12821,12821,TRUE,TRUE
16,6.81618211950575,4.54574993678502,4.54574993678502,11579,11395,12821,12821,12821,12821,12821,12821,TRUE,TRUE
17,13.7924739408493,57.1236404442787,57.1236404442787,1862,1363,12821,12821,12821,12821,12821,12821,TRUE,TRUE
18,1.79756969928741,3.41112895011902,3.41112895011902,2762,11626,12821,12821,12821,12821,12821,12821,TRUE,TRUE
19,0,37.547829246521,37.547829246521,2788,3199,12821,12821,12821,12821,12821,12821,TRUE,TRUE
20,1.55345448255539,23.7251510858536,23.7251510858536,3385,5914,12821,12821,12821,12821,12821,12821,TRUE,TRUE
21,0,32.7653724840372,32.7653724840372,6746,3977,12821,12821,12821,12821,12821,12821,TRUE,TRUE
22,2.16096694380045,21.4786358690262,21.4786358690262,6636,6513,12821,12821,12821,12821,12821,12821,TRUE,TRUE
23,9.29673725849873,0,0,5204,12179,12821,12821,12821,12821,12821,12821,TRUE,TRUE
24,0.384967235364997,15.8674390434176,15.8674390434176,2747,8134,12821,12821,12821,12821,12821,12821,TRUE,TRUE
25,36.4784617424011,26.4107999801636,26.4107999801636,8190,5259,12821,12821,12821,12821,12821,12821,TRUE,TRUE
26,0.943168467283249,20.1103867292404,20.1103867292404,371,6915,12821,12821,12821,12821,12821,12821,TRUE,TRUE
