peak,gene,distance_to_TSS,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
chr9-16160500-16161348,Fat3,216882,3.47942344005336e-14,4.07069315782274,0.063,0.004,1.63971309035955e-09
chr17-86639093-86639981,Gm22235,63425,7.75241863915207e-14,4.61198692995828,0.05,0.002,3.6534048078868e-09
chr9-31097293-31098075,Gm16071,3090,3.19193871749225e-13,3.49698377961763,0.069,0.005,1.5042330400054e-08
chr1-127478939-127479837,RP23-56C10.3,72162,7.61923798988919e-13,5.69709809230499,0.038,0.001,3.59064209511518e-08
chr1-95267887-95268825,Gm5264,11076,6.76698597359394e-12,2.96319172990196,0.082,0.01,3.18900980991588e-07
chr6-42199162-42199984,Tas2r144,15343,8.78328039110714e-12,4.57433947446757,0.044,0.002,4.13920871711315e-07
chrX-53459405-53460267,Etd,24486,4.17344392609973e-11,4.75619498194335,0.038,0.001,1.96677718461376e-06
chr8-54723995-54724892,Gm15758,15007,1.23232801614961e-10,2.26104208411001,0.126,0.027,5.80746900890666e-06
chr4-141212918-141213521,Rsg1,434,1.23441225343951e-10,5.78507870821212,0.031,0.001,5.81729118555905e-06
chr17-8730604-8731447,Gm15426,34479,1.2475002950088e-10,5.59202362942292,0.031,0.001,5.87896989025847e-06
chr6-117493902-117494797,Gm9946,64899,1.26072393705797e-10,5.48784455626138,0.031,0.001,5.94128762577939e-06
chr8-78251809-78252683,Ttc29,38511,1.39061512534811e-10,4.17302977472318,0.044,0.002,6.55341283971552e-06
chr4-101142930-101143911,Gm22100,39279,1.41241879836674e-10,4.08892793654941,0.044,0.002,6.65616482918308e-06
chr7-79994245-79995119,Zfp710,29694,1.48600002374884e-10,3.21301151943238,0.057,0.005,7.00292371191878e-06
chr3-148744647-148745577,RP24-196A21.1,175582,1.50302353389749e-10,3.94500743835995,0.044,0.002,7.08314870584532e-06
chr1-95821387-95822206,Gm22360,10028,9.62654480387099e-10,4.11672700822873,0.038,0.002,4.53660550427224e-05
chr6-127493292-127494126,Parp11,46451,9.70590164524077e-10,4.20231502553544,0.038,0.002,4.57400320933617e-05
chr10-123455017-123455904,Gm22958,22450,1.19593765469468e-09,3.4451274870047,0.05,0.004,5.63597579151415e-05
chr8-61521754-61522794,Cbr4,34019,1.42711394574116e-09,3.8433731322653,0.044,0.003,6.7254171806998e-05
chr3-152757316-152758151,Rpl29-ps1,23909,1.4678967039325e-09,3.67350613443006,0.044,0.003,6.91761000695232e-05
chr11-32551290-32552151,Stk10,17984,1.52047493851953e-09,3.63921685163353,0.044,0.003,7.16539019526714e-05
chr14-16448423-16449279,Top2b,83243,2.86907340976703e-09,3.13132592745909,0.057,0.006,0.000135207953508681
