peak,gene,distance_to_TSS,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
chr4-141212918-141213521,Rsg1,434,1.23441225343951e-10,5.78507870821212,0.031,0.001,5.81729118555905e-06
chr18-74778403-74779323,Scarna17,0,3.32092599970372e-08,2.19508578802748,0.094,0.02,0.00156501958662038
chr1-4722331-4723232,Gm25493,146,5.70373401606133e-08,3.21838425777165,0.044,0.004,0.00268794169240906
chr13-12588888-12589733,Gm25483,0,5.72054606059898e-08,3.17219692681966,0.044,0.004,0.00269586453651788
chr19-34191964-34192866,Stambpl1,0,1.02516467316647e-07,2.74870931858442,0.05,0.006,0.0048311910387643
chr17-39847755-39848685,AY036118,143,1.5063185790089e-07,1.44149360284202,0.17,0.057,0.00709867693543734
chr15-43869537-43870384,Tmem74,0,2.0658277240706e-07,2.65543047316957,0.063,0.01,0.00973541973245513
chr6-41112671-41113571,Trbv12-1,0,2.34779173421754e-07,2.14814635233915,0.075,0.015,0.0110642033266736
chr9-72958299-72959185,Dyx1c1,0,2.3782532944821e-07,3.03988433899511,0.044,0.005,0.0112077564755763
chr6-65950338-65951217,4930544G11Rik,1353,2.48452983298872e-07,2.82883689143032,0.057,0.009,0.0117085952909426
chr17-25083161-25084110,Tmem204,1979,2.95758716517501e-07,2.87130921167495,0.05,0.007,0.0139379252746038
chrX-145505676-145506438,Amot,494,4.79414630042939e-07,2.42348962083198,0.063,0.011,0.0225928938554035
chr3-108256624-108257544,Psma5,0,5.14382328513509e-07,3.13620390263234,0.038,0.004,0.0242407816135276
chr3-137550416-137551317,Gm4861,1304,5.17430226429612e-07,3.10178169733805,0.038,0.004,0.0243844168507219
chr6-142754399-142755308,Cmas,1377,5.99117341977023e-07,4.32304936892617,0.025,0.001,0.0282340038580092
chr1-93161361-93162227,2310007B03Rik,412,6.14209134739405e-07,3.76944242516103,0.025,0.001,0.0289452196837292
chr1-182908097-182908963,RP23-160F6.1,386,6.14209134739405e-07,3.97288002178596,0.025,0.001,0.0289452196837292
chr11-44398440-44399537,Il12b,525,7.05392588910434e-07,2.51313316815502,0.057,0.009,0.0332423311449931
chr1-119053284-119054188,Gli2,0,7.58816374830906e-07,3.68541982078413,0.031,0.002,0.0357599804802813
chr17-37196873-37197791,Olfr94,219,7.79484688844114e-07,3.48552479786449,0.031,0.002,0.0367339954464677
chrX-74428522-74429355,G6pdx,0,7.95340694290381e-07,3.39727884472113,0.031,0.002,0.0374812255591285
chr12-69241425-69242344,Klhdc1,248,8.19874634476747e-07,2.92599146853378,0.044,0.005,0.0386374120243512
chr3-54755106-54756030,Smad9,0,8.74323940286492e-07,2.70935502020855,0.05,0.007,0.0412033900099412
chr10-24869488-24870386,Med23,0,1.24870186114959e-06,1.66752373600712,0.113,0.033,0.0588463239085356
chr15-44787351-44788264,2310069G16Rik,0,1.90054385064674e-06,1.94335258914252,0.082,0.02,0.0895650295055783
chr4-98382661-98383531,Tm2d1,0,1.94303299594026e-06,3.20219922341781,0.038,0.004,0.0915673729666807
chr10-26752297-26753216,Arhgap18,204,2.00051926979585e-06,1.96423909286134,0.082,0.02,0.094276471108399
chr3-107631275-107632111,Gm10961,0,2.09546385495799e-06,3.07632295874787,0.038,0.004,0.0987508296287504
chr14-61359965-61360842,Ebpl,0,2.10531822253614e-06,2.27924405550156,0.063,0.012,0.0992152265552379
chr9-63377436-63378208,Map2k5,0,2.24724227060247e-06,2.74174138416756,0.038,0.004,0.105903539244412
chr14-79425993-79426906,Kbtbd7,0,2.54491134728673e-06,2.78114502421391,0.044,0.006,0.119931492152234
chr17-39843143-39843840,Gm26917,129,3.13448232361611e-06,1.37585053301295,0.157,0.059,0.147715613982733
chr17-28904567-28905451,1700030A11Rik,0,3.18254603359965e-06,4.70552516420933,0.019,0.001,0.149980664379417
chr1-40790239-40791100,Mfsd9,0,3.59524788605585e-06,2.30475983852427,0.063,0.013,0.169429651878268
chr1-4807428-4808298,RP24-426M1.3,0,4.22195576209575e-06,2.16076281264673,0.063,0.013,0.198963887244524
chr16-3743458-3744368,Zfp263,0,5.09132909924222e-06,2.02117063259109,0.075,0.018,0.239933975130889
chr8-121433373-121434246,Gm26784,733,5.65174757632107e-06,8.40514053366057,0.013,0,0.266344256281707
chr8-121857532-121858411,9530085P06Rik,0,5.65174757632107e-06,8.66158113536384,0.013,0,0.266344256281707
chr4-54652160-54653171,Gm12480,256,6.46752173716438e-06,3.91081504666603,0.025,0.002,0.304788429385609
chr5-110334569-110335464,Gm15792,1365,6.46752173716438e-06,3.90120486835981,0.025,0.002,0.304788429385609
chr6-24663224-24664027,Wasl,981,6.5586085547921e-06,3.87094961781104,0.025,0.002,0.309080986753132
chr10-62488124-62488928,Vps26a,1318,6.60461094088897e-06,3.69612609481519,0.025,0.002,0.311248895200334
chr10-116019098-116019845,Ptprr,884,6.74447751160852e-06,3.51326844157788,0.025,0.002,0.317840247212063
chr17-25307860-25308635,Prss28,10,6.74447751160852e-06,3.55101896301978,0.025,0.002,0.317840247212063
chr4-125921194-125922080,2610028E06Rik,336,6.74447751160852e-06,3.57860478653162,0.025,0.002,0.317840247212063
chr2-139589627-139590474,Gm27385,1399,6.82807245837689e-06,2.54480422035594,0.044,0.007,0.321779742673469
chr16-21995030-21995731,Liph,0,6.88717489030759e-06,3.45782141018118,0.025,0.002,0.324565003880636
chr9-75683486-75684393,Scg3,0,6.97706358417498e-06,2.94210530355394,0.038,0.005,0.32880109846783
chr14-63543400-63544330,Mtmr9,0,7.00916517822937e-06,2.58232114695173,0.044,0.007,0.330313918189237
chr1-178187021-178187935,Desi2,0,7.13770971264182e-06,1.63067897686007,0.101,0.03,0.336371707917959
chr17-79825108-79825984,RP23-242A12.1,0,7.15142981292986e-06,2.82276206536525,0.038,0.005,0.337018281364133
chr10-57794484-57795282,Smpdl3a,148,7.2262470492361e-06,2.47549412659683,0.044,0.007,0.3405441184423
chr5-8242988-8243870,Gm23993,264,1.09292177162865e-05,2.36044313204481,0.05,0.009,0.515050314097719
chr6-72789039-72789985,Tcf7l1,0,1.13078681864926e-05,2.34369443019293,0.05,0.009,0.532894596156651
chr17-39845753-39846630,Yam1,327,1.24646983399403e-05,1.30439770948844,0.151,0.059,0.587411373968029
chrX-145504733-145505544,Amot,0,1.54357477508664e-05,2.61300797689003,0.044,0.007,0.72742504850733
chr17-34398387-34399350,BC051142,0,1.56906745960504e-05,2.65324655513553,0.044,0.007,0.739438731013472
chr5-103691950-103692872,Aff1,0,1.57550369747771e-05,2.58198921034844,0.044,0.007,0.742471872473344
chr7-122288582-122289492,Prkcb,0,1.58196458850462e-05,2.55491812253318,0.044,0.007,0.745516631978685
chr10-63099778-63100703,Atoh7,0,1.84488064958442e-05,3.04951744171132,0.031,0.004,0.869418454923154
chr5-86172366-86173233,Uba6,0,1.88086458172582e-05,1.3953369453434,0.119,0.042,0.88637624278411
chr6-55335880-55336799,Aqp1,0,1.90475702405652e-05,2.76064483962863,0.031,0.004,0.897635795156875
chr17-64600211-64601127,Man2a1,0,1.96497142224072e-05,1.6903843477994,0.082,0.023,0.92601243244516
chr16-37010003-37010760,Polq,1025,1.96758273341827e-05,2.85494472702177,0.038,0.005,0.927243038950695
chr10-61714743-61715645,Aifm2,0,2.10642582981396e-05,2.60582494344982,0.038,0.005,0.992674236558127
chr4-96273664-96274597,Cyp2j15-ps,0,2.11697340236778e-05,2.39337126815127,0.05,0.01,0.997644885599839
chr6-87811467-87812346,Rab43,0,2.23670007407066e-05,1.98204078897956,0.063,0.015,1
chr11-30471514-30472377,4930505A04Rik,0,2.29755496353255e-05,2.17190818995279,0.057,0.012,1
chr1-186116820-186117676,Lyplal1,0,2.99804756088249e-05,1.85478927231041,0.069,0.018,1
chr3-154596429-154596980,Cryz,0,3.36412694030681e-05,1.67850736835256,0.069,0.018,1
chr2-146511734-146512626,Ralgapa2,0,3.39028422240143e-05,1.39100553940259,0.113,0.04,1
chr11-4096323-4097205,Mtfp1,877,3.69108933130196e-05,2.3255338609368,0.044,0.008,1
chr9-40321017-40321874,1700110K17Rik,1551,4.02868025505131e-05,3.42596292719236,0.025,0.002,1
chr2-164655611-164656554,Wfdc10,0,4.10189922180825e-05,3.24953845084666,0.025,0.002,1
chr3-87355866-87356807,Cd5l,1073,4.10189922180825e-05,3.19751159576919,0.025,0.002,1
chr12-95690514-95691420,Flrt2,805,4.12658488026743e-05,3.2182828827721,0.025,0.002,1
chr7-19700872-19701725,Apoe,1705,4.12658488026743e-05,3.12430660540081,0.025,0.002,1
chr4-137048169-137049020,Zbtb40,0,4.15141145800677e-05,3.19398215427487,0.025,0.002,1
chr2-93823366-93824181,Ext2,797,4.22674428899357e-05,3.08269012492277,0.025,0.002,1
chr10-34418098-34419000,Nt5dc1,0,4.70620197153262e-05,1.39858128812829,0.119,0.045,1
chr1-143640446-143641363,B3galt2,0,5.14271889657504e-05,2.55895770776186,0.038,0.006,1
chr4-154025603-154026536,Smim1,0,5.19702928673505e-05,2.55905425914359,0.038,0.006,1
chr15-94543090-94544022,Pus7l,0,5.22837432252272e-05,1.70414008627768,0.075,0.021,1
chr15-38302092-38302854,Klf10,1384,5.42751804952993e-05,4.37910365423375,0.019,0.001,1
chr2-71872721-71873628,Pdk1,0,5.44462967172238e-05,1.70238039019055,0.069,0.018,1
chr11-4873736-4874492,Nipsnap1,0,5.59212193724482e-05,3.83937162738024,0.019,0.001,1
chr7-80260793-80261698,Ngrn,0,5.63400571848246e-05,3.68654617771726,0.019,0.001,1
chr10-59322845-59323723,P4ha1,0,5.71375173877738e-05,1.69166946325215,0.075,0.021,1
chr2-127444132-127445066,Fahd2a,0,5.87648340604706e-05,2.8948391641246,0.031,0.004,1
chr5-90223584-90224471,Cox18,0,5.90666225114574e-05,1.87139204596344,0.063,0.016,1
