gene,anchor,window_start,window_end,strand,tags
Plcl1,peak 1:55405467-55406322,55395467,55441322,+,neg ctrl
Nwd1,peak 8:72644406-72645339,72634406,72680339,+,GA-up+RNA-up
Gli2,peak 1:119053284-119054188,119018284,119064188,-,peak-up+GA-up+RNA-up
Smad9,peak 3:54755106-54756030,54745106,54791030,+,peak-up+RNA-up
Tmem74,peak 15:43869537-43870384,43834537,43880384,-,peak-up
Gm25493,peak 1:4722331-4723232,4687331,4733232,-,peak-up
Scarna17,peak 18:74778403-74779323,74743403,74789323,-,peak-up
Acaa2,TSS (no promoter peak),74769197,74814197,+,no call
Stambpl1,peak 19:34191964-34192866,34181964,34227866,+,peak-up+RNA-up
App,peak 16:85173289-85174205,85138289,85184205,-,neg ctrl
Rsg1,peak 4:141212918-141213521,141202918,141248521,+,peak-up
