chr	start	end	pct_AST	pct_nonAST	mean_AST	mean_nonAST	log2FC
chr1	3389613	3390511	0	0.004	0	0.013	-1.203
chr1	3438708	3439567	0	0.005	0	0.01	-0.983
chr1	3447706	3448588	0.006	0.007	0.013	0.014	-0.113
chr1	3466302	3467206	0.006	0.003	0.013	0.008	0.335
chr1	3514570	3515508	0.006	0.003	0.013	0.008	0.298
chr1	3535747	3536616	0	0.003	0	0.008	-0.84
chr1	3575143	3576048	0.006	0.005	0.006	0.013	-0.528
chr1	3670126	3670908	0.019	0.003	0.038	0.005	1.659
chr1	3671347	3672228	0.063	0.023	0.189	0.049	1.756
chr1	3774269	3775169	0.006	0.003	0.013	0.012	0.032
chr1	3840953	3841871	0.006	0.005	0.013	0.009	0.262
chr1	3970243	3971015	0.031	0.003	0.088	0.007	2.53
chr1	3994440	3995349	0.044	0.005	0.113	0.012	2.51
chr1	4058231	4059163	0.019	0.007	0.038	0.013	1.024
chr1	4139033	4139895	0.019	0.004	0.05	0.008	1.752
chr1	4142059	4142875	0.019	0.004	0.038	0.008	1.415
chr1	4332149	4333015	0.019	0.007	0.031	0.012	0.939
chr1	4334652	4335560	0.006	0.003	0.013	0.006	0.493
chr1	4491663	4492587	0.006	0.005	0.013	0.01	0.159
chr1	4496332	4497235	0.019	0.004	0.031	0.009	1.103
chr1	4525506	4526109	0	0.002	0	0.005	-0.551
chr1	4529839	4530655	0.013	0.003	0.025	0.006	1.132
chr1	4543754	4544684	0.006	0.005	0.025	0.011	0.733
chr1	4571389	4572266	0.038	0.009	0.082	0.019	1.682
chr1	4611445	4612208	0.006	0.009	0.013	0.017	-0.244
chr1	4707685	4708309	0.006	0.002	0.006	0.004	0.2
chr1	4722330	4723232	0.044	0.004	0.164	0.011	3.068
chr1	4785248	4786176	0.019	0.012	0.038	0.027	0.351
chr1	4807427	4808298	0.063	0.014	0.113	0.028	1.701
chr1	4857255	4858126	0.019	0.014	0.031	0.03	0.06
chr1	5017663	5018488	0.006	0.003	0.013	0.006	0.535
chr1	5018861	5019934	0.013	0.007	0.019	0.017	0.111
chr1	5022663	5023450	0.019	0.009	0.031	0.02	0.489
chr1	5032823	5033737	0.006	0.004	0.013	0.008	0.298
chr1	5069950	5070871	0.006	0.006	0.013	0.014	-0.085
chr1	5082713	5083717	0.013	0.009	0.019	0.018	0.061
chr1	5102936	5103834	0.013	0.005	0.031	0.011	0.97
chr1	5183165	5184066	0	0.004	0	0.007	-0.802
chr1	5220306	5221341	0	0.004	0	0.013	-1.203
chr1	5228743	5229585	0.006	0.007	0.013	0.013	-0.028
chr1	5232572	5233466	0.006	0.006	0.006	0.011	-0.345
chr1	5588066	5588878	0.006	0.01	0.006	0.018	-0.764
chr1	5904563	5905406	0.006	0.004	0.006	0.01	-0.279
chr1	6008321	6009174	0	0.002	0	0.004	-0.456
chr1	6134806	6135655	0.013	0.003	0.019	0.007	0.806
chr1	6214331	6215252	0.031	0.015	0.057	0.029	0.761
chr1	6271933	6272812	0	0.01	0	0.02	-1.562
chr1	6358865	6359729	0.006	0.008	0.013	0.015	-0.167
